Designator,Mid X,Mid Y,Rotation,Layer
BRD1,217.249999,-68.769999,180.0,top
D1,208.999999,-93.25,180.0,top
D10,136.4325,-48.122499,90.0,top
D11,126.43,-48.122499,90.0,top
D12,252.41,-48.122499,90.0,top
D13,242.425,-48.122499,90.0,top
D14,232.44,-48.122499,90.0,top
D15,222.455,-48.122499,90.0,top
D16,212.47,-48.122499,90.0,top
D17,45.44,-136.809996,270.0,top
D18,55.45,-136.809996,270.0,top
D19,65.46,-136.809996,270.0,top
D2,80.55,-48.122499,90.0,top
D20,75.47,-136.809996,270.0,top
D21,85.48,-136.809996,270.0,top
D22,131.43,-136.809996,270.0,top
D23,141.445,-136.809996,270.0,top
D24,151.46,-136.809996,270.0,top
D25,161.475,-136.809996,270.0,top
D26,171.49,-136.809996,270.0,top
D27,217.46,-136.809996,270.0,top
D28,227.47,-136.809996,270.0,top
D29,237.48,-136.809996,270.0,top
D3,70.5725,-48.122499,90.0,top
D30,247.49,-136.809996,270.0,top
D31,257.5,-136.809996,270.0,top
D4,60.595,-48.122499,90.0,top
D5,50.6175,-48.122499,90.0,top
D6,40.55,-48.122499,90.0,top
D7,166.44,-48.122499,90.0,top
D8,156.4375,-48.122499,90.0,top
D9,146.435,-48.122499,90.0,top
J1,62.94,-37.53,0.0,top
J2,148.93,-37.53,0.0,top
J3,234.92,-37.53,0.0,top
J4,62.940002,-148.989998,180.0,top
J5,148.915,-148.989998,180.0,top
J6,234.889997,-148.989998,180.0,top
R1,207.75,-88.25,90.0,top
U1,241.499999,-93.31,270.0,top
